2004	12	0.00000	-999.00000	-999.00000
2005	01	0.00000	-999.00000	-999.00000
2005	02	0.00000	-999.00000	-999.00000
2005	03	0.00000	-999.00000	-999.00000
2005	04	0.00000	-999.00000	-999.00000
2005	05	0.00000	-999.00000	-999.00000
2005	06	0.00000	-999.00000	-999.00000
2005	07	0.00000	-999.00000	-999.00000
2005	08	0.00000	-999.00000	-999.00000
2005	09	0.00000	-999.00000	-999.00000
2005	10	0.00000	-999.00000	-999.00000
2005	11	0.00000	-999.00000	-999.00000
2005	12	0.00000	-999.00000	-999.00000
2006	01	0.00000	-999.00000	-999.00000
2006	02	0.00000	-999.00000	-999.00000
2006	03	0.00000	-999.00000	-999.00000
2006	04	0.00000	-999.00000	-999.00000
2006	05	0.00000	-999.00000	-999.00000
2006	06	3.00000	-999.00000	-999.00000
2006	07	0.00000	-999.00000	-999.00000
2006	08	0.00000	-999.00000	-999.00000
2006	09	0.00000	-999.00000	-999.00000
2006	10	0.00000	-999.00000	-999.00000
2006	11	0.00000	-999.00000	-999.00000
2006	12	0.00000	-999.00000	-999.00000
2007	01	0.00000	-999.00000	-999.00000
2007	02	0.00000	-999.00000	-999.00000
2007	03	0.00000	-999.00000	-999.00000
2007	04	0.00000	-999.00000	-999.00000
2007	05	0.00000	-999.00000	-999.00000
2007	06	0.00000	-999.00000	-999.00000
2007	07	0.00000	-999.00000	-999.00000
2007	08	0.00000	-999.00000	-999.00000
2007	09	0.00000	-999.00000	-999.00000
2007	10	0.00000	-999.00000	-999.00000
2007	11	0.00000	-999.00000	-999.00000
2007	12	20.00000	-999.00000	-999.00000
2008	01	0.00000	-999.00000	-999.00000
2008	02	0.00000	-999.00000	-999.00000
2008	03	0.00000	-999.00000	-999.00000
2008	04	0.00000	-999.00000	-999.00000
2008	05	0.00000	-999.00000	-999.00000
2008	06	0.00000	-999.00000	-999.00000
2008	07	0.00000	-999.00000	-999.00000
2008	08	0.00000	-999.00000	-999.00000
2008	09	0.00000	-999.00000	-999.00000
2008	10	0.00000	-999.00000	-999.00000
2008	11	0.00000	-999.00000	-999.00000
2008	12	0.00000	-999.00000	-999.00000
2009	01	0.00000	-999.00000	-999.00000
2009	02	60.00000	-999.00000	-999.00000
2009	03	0.00000	-999.00000	-999.00000
2009	04	0.00000	-999.00000	-999.00000
2009	05	0.00000	-999.00000	-999.00000
2009	06	0.00000	-999.00000	-999.00000
2009	07	0.00000	-999.00000	-999.00000
2009	08	0.00000	-999.00000	-999.00000
2009	09	0.00000	-999.00000	-999.00000
2009	10	0.00000	-999.00000	-999.00000
2009	11	0.00000	-999.00000	-999.00000
2009	12	0.00000	-999.00000	-999.00000
2010	01	6.00000	-999.00000	-999.00000
2010	02	70.00000	-999.00000	-999.00000
2010	03	70.00000	-999.00000	-999.00000
2010	04	9.00000	-999.00000	-999.00000
2010	05	0.00000	-999.00000	-999.00000
2010	06	0.00000	-999.00000	-999.00000
2010	07	0.00000	-999.00000	-999.00000
2010	08	0.00000	-999.00000	-999.00000
2010	09	0.00000	-999.00000	-999.00000
2010	10	0.00000	-999.00000	-999.00000
2010	11	0.00000	-999.00000	-999.00000
2010	11	0.00000	-999.00000	-999.00000
2011	01	0.00000	-999.00000	-999.00000
2011	02	0.00000	-999.00000	-999.00000
2011	03	0.00000	-999.00000	-999.00000
2011	04	0.00000	-999.00000	-999.00000
2011	05	0.00000	-999.00000	-999.00000
2011	06	0.00000	-999.00000	-999.00000
2011	07	0.00000	-999.00000	-999.00000
2011	08	0.00000	-999.00000	-999.00000
2011	09	0.00000	-999.00000	-999.00000
2011	10	0.00000	-999.00000	-999.00000
2011	11	0.00000	-999.00000	-999.00000
2011	12	0.00000	-999.00000	-999.00000
